Source,Target,Story
John Benton,Gold Dalek (Day of the Daleks),Day_of_the_Daleks_(TV_story)
Mike Yates,Jo Grant,Day_of_the_Daleks_(TV_story)
Mike Yates,Gold Dalek (Day of the Daleks),Day_of_the_Daleks_(TV_story)
Jo Grant,Gold Dalek (Day of the Daleks),Day_of_the_Daleks_(TV_story)
Third Doctor,Jo Grant,The_Curse_of_Peladon_(TV_story)
Third Doctor,Alpha Centauri (The Curse of Peladon),The_Curse_of_Peladon_(TV_story)
Third Doctor,Peladon of Peladon,The_Curse_of_Peladon_(TV_story)
Third Doctor,Aggedor (The Curse of Peladon),The_Curse_of_Peladon_(TV_story)
Third Doctor,Amazonia,The_Curse_of_Peladon_(TV_story)
Third Doctor,Grun,The_Curse_of_Peladon_(TV_story)
Third Doctor,Ice Warrior,The_Curse_of_Peladon_(TV_story)
Third Doctor,Arcturus (The Curse of Peladon),The_Curse_of_Peladon_(TV_story)
Third Doctor,Hepesh,The_Curse_of_Peladon_(TV_story)
Jo Grant,Alpha Centauri (The Curse of Peladon),The_Curse_of_Peladon_(TV_story)
Jo Grant,Peladon of Peladon,The_Curse_of_Peladon_(TV_story)
Jo Grant,Aggedor (The Curse of Peladon),The_Curse_of_Peladon_(TV_story)
Jo Grant,Amazonia,The_Curse_of_Peladon_(TV_story)
Jo Grant,Grun,The_Curse_of_Peladon_(TV_story)
Jo Grant,Ice Warrior,The_Curse_of_Peladon_(TV_story)
Jo Grant,Arcturus (The Curse of Peladon),The_Curse_of_Peladon_(TV_story)
Jo Grant,Hepesh,The_Curse_of_Peladon_(TV_story)
Alpha Centauri (The Curse of Peladon),Peladon of Peladon,The_Curse_of_Peladon_(TV_story)
Alpha Centauri (The Curse of Peladon),Aggedor (The Curse of Peladon),The_Curse_of_Peladon_(TV_story)
Alpha Centauri (The Curse of Peladon),Amazonia,The_Curse_of_Peladon_(TV_story)
Alpha Centauri (The Curse of Peladon),Grun,The_Curse_of_Peladon_(TV_story)
Alpha Centauri (The Curse of Peladon),Ice Warrior,The_Curse_of_Peladon_(TV_story)
Alpha Centauri (The Curse of Peladon),Arcturus (The Curse of Peladon),The_Curse_of_Peladon_(TV_story)
Alpha Centauri (The Curse of Peladon),Hepesh,The_Curse_of_Peladon_(TV_story)
Peladon of Peladon,Aggedor (The Curse of Peladon),The_Curse_of_Peladon_(TV_story)
Peladon of Peladon,Amazonia,The_Curse_of_Peladon_(TV_story)
Peladon of Peladon,Grun,The_Curse_of_Peladon_(TV_story)
Peladon of Peladon,Ice Warrior,The_Curse_of_Peladon_(TV_story)
Peladon of Peladon,Arcturus (The Curse of Peladon),The_Curse_of_Peladon_(TV_story)
Peladon of Peladon,Hepesh,The_Curse_of_Peladon_(TV_story)
Aggedor (The Curse of Peladon),Amazonia,The_Curse_of_Peladon_(TV_story)
Aggedor (The Curse of Peladon),Grun,The_Curse_of_Peladon_(TV_story)
Aggedor (The Curse of Peladon),Ice Warrior,The_Curse_of_Peladon_(TV_story)
Aggedor (The Curse of Peladon),Arcturus (The Curse of Peladon),The_Curse_of_Peladon_(TV_story)
Aggedor (The Curse of Peladon),Hepesh,The_Curse_of_Peladon_(TV_story)
Amazonia,Grun,The_Curse_of_Peladon_(TV_story)
Amazonia,Ice Warrior,The_Curse_of_Peladon_(TV_story)
Amazonia,Arcturus (The Curse of Peladon),The_Curse_of_Peladon_(TV_story)
Amazonia,Hepesh,The_Curse_of_Peladon_(TV_story)
Grun,Ice Warrior,The_Curse_of_Peladon_(TV_story)
Grun,Arcturus (The Curse of Peladon),The_Curse_of_Peladon_(TV_story)
Grun,Hepesh,The_Curse_of_Peladon_(TV_story)
Ice Warrior,Arcturus (The Curse of Peladon),The_Curse_of_Peladon_(TV_story)
Ice Warrior,Hepesh,The_Curse_of_Peladon_(TV_story)
Arcturus (The Curse of Peladon),Hepesh,The_Curse_of_Peladon_(TV_story)
Third Doctor,Jo Grant,The_Sea_Devils_(TV_story)
Third Doctor,John Hart (The Sea Devils),The_Sea_Devils_(TV_story)
Third Doctor,Jane Blythe (The Sea Devils),The_Sea_Devils_(TV_story)
Third Doctor,The Master,The_Sea_Devils_(TV_story)
Third Doctor,Sea Devil,The_Sea_Devils_(TV_story)
Jo Grant,John Hart (The Sea Devils),The_Sea_Devils_(TV_story)
Jo Grant,Jane Blythe (The Sea Devils),The_Sea_Devils_(TV_story)
Jo Grant,The Master,The_Sea_Devils_(TV_story)
Jo Grant,Sea Devil,The_Sea_Devils_(TV_story)
John Hart (The Sea Devils),Jane Blythe (The Sea Devils),The_Sea_Devils_(TV_story)
John Hart (The Sea Devils),The Master,The_Sea_Devils_(TV_story)
John Hart (The Sea Devils),Sea Devil,The_Sea_Devils_(TV_story)
Jane Blythe (The Sea Devils),The Master,The_Sea_Devils_(TV_story)
Jane Blythe (The Sea Devils),Sea Devil,The_Sea_Devils_(TV_story)
The Master,Sea Devil,The_Sea_Devils_(TV_story)
Third Doctor,Jo Grant,The_Mutants_(TV_story)
Third Doctor,Marshal of Solos,The_Mutants_(TV_story)
Third Doctor,Jaeger (The Mutants),The_Mutants_(TV_story)
Jo Grant,Marshal of Solos,The_Mutants_(TV_story)
Jo Grant,Jaeger (The Mutants),The_Mutants_(TV_story)
Marshal of Solos,Jaeger (The Mutants),The_Mutants_(TV_story)
Third Doctor,The Brigadier,The_Time_Monster_(TV_story)
Third Doctor,John Benton,The_Time_Monster_(TV_story)
Third Doctor,Mike Yates,The_Time_Monster_(TV_story)
Third Doctor,Jo Grant,The_Time_Monster_(TV_story)
Third Doctor,Stuart Hyde,The_Time_Monster_(TV_story)
Third Doctor,Kronos,The_Time_Monster_(TV_story)
Third Doctor,Minotaur,The_Time_Monster_(TV_story)
Third Doctor,The Master,The_Time_Monster_(TV_story)
The Brigadier,John Benton,The_Time_Monster_(TV_story)
The Brigadier,Mike Yates,The_Time_Monster_(TV_story)
The Brigadier,Jo Grant,The_Time_Monster_(TV_story)
The Brigadier,Stuart Hyde,The_Time_Monster_(TV_story)
The Brigadier,Kronos,The_Time_Monster_(TV_story)
The Brigadier,Minotaur,The_Time_Monster_(TV_story)
The Brigadier,The Master,The_Time_Monster_(TV_story)
John Benton,Mike Yates,The_Time_Monster_(TV_story)
John Benton,Jo Grant,The_Time_Monster_(TV_story)
John Benton,Stuart Hyde,The_Time_Monster_(TV_story)
John Benton,Kronos,The_Time_Monster_(TV_story)
John Benton,Minotaur,The_Time_Monster_(TV_story)
John Benton,The Master,The_Time_Monster_(TV_story)
Mike Yates,Jo Grant,The_Time_Monster_(TV_story)
Mike Yates,Stuart Hyde,The_Time_Monster_(TV_story)
Mike Yates,Kronos,The_Time_Monster_(TV_story)
Mike Yates,Minotaur,The_Time_Monster_(TV_story)
Mike Yates,The Master,The_Time_Monster_(TV_story)
Jo Grant,Stuart Hyde,The_Time_Monster_(TV_story)
Jo Grant,Kronos,The_Time_Monster_(TV_story)
Jo Grant,Minotaur,The_Time_Monster_(TV_story)
Jo Grant,The Master,The_Time_Monster_(TV_story)
Stuart Hyde,Kronos,The_Time_Monster_(TV_story)
Stuart Hyde,Minotaur,The_Time_Monster_(TV_story)
Stuart Hyde,The Master,The_Time_Monster_(TV_story)
Kronos,Minotaur,The_Time_Monster_(TV_story)
Kronos,The Master,The_Time_Monster_(TV_story)
Minotaur,The Master,The_Time_Monster_(TV_story)
Third Doctor,The Brigadier,The_Three_Doctors_(TV_story)
Third Doctor,John Benton,The_Three_Doctors_(TV_story)
Third Doctor,Jo Grant,The_Three_Doctors_(TV_story)
Third Doctor,First Doctor,The_Three_Doctors_(TV_story)
Third Doctor,Second Doctor,The_Three_Doctors_(TV_story)
Third Doctor,President (The Three Doctors),The_Three_Doctors_(TV_story)
Third Doctor,Chancellor (The Three Doctors),The_Three_Doctors_(TV_story)
Third Doctor,Time Lord (The Three Doctors),The_Three_Doctors_(TV_story)
Third Doctor,Palmer (The Three Doctors),The_Three_Doctors_(TV_story)
Third Doctor,Omega,The_Three_Doctors_(TV_story)
The Brigadier,John Benton,The_Three_Doctors_(TV_story)
The Brigadier,Jo Grant,The_Three_Doctors_(TV_story)
The Brigadier,First Doctor,The_Three_Doctors_(TV_story)
The Brigadier,Second Doctor,The_Three_Doctors_(TV_story)
The Brigadier,President (The Three Doctors),The_Three_Doctors_(TV_story)
The Brigadier,Chancellor (The Three Doctors),The_Three_Doctors_(TV_story)
The Brigadier,Time Lord (The Three Doctors),The_Three_Doctors_(TV_story)
The Brigadier,Palmer (The Three Doctors),The_Three_Doctors_(TV_story)
The Brigadier,Omega,The_Three_Doctors_(TV_story)
John Benton,Jo Grant,The_Three_Doctors_(TV_story)
John Benton,First Doctor,The_Three_Doctors_(TV_story)
John Benton,Second Doctor,The_Three_Doctors_(TV_story)
John Benton,President (The Three Doctors),The_Three_Doctors_(TV_story)
John Benton,Chancellor (The Three Doctors),The_Three_Doctors_(TV_story)
John Benton,Time Lord (The Three Doctors),The_Three_Doctors_(TV_story)
John Benton,Palmer (The Three Doctors),The_Three_Doctors_(TV_story)
John Benton,Omega,The_Three_Doctors_(TV_story)
Jo Grant,First Doctor,The_Three_Doctors_(TV_story)
Jo Grant,Second Doctor,The_Three_Doctors_(TV_story)
Jo Grant,President (The Three Doctors),The_Three_Doctors_(TV_story)
Jo Grant,Chancellor (The Three Doctors),The_Three_Doctors_(TV_story)
Jo Grant,Time Lord (The Three Doctors),The_Three_Doctors_(TV_story)
Jo Grant,Palmer (The Three Doctors),The_Three_Doctors_(TV_story)
Jo Grant,Omega,The_Three_Doctors_(TV_story)
First Doctor,Second Doctor,The_Three_Doctors_(TV_story)
First Doctor,President (The Three Doctors),The_Three_Doctors_(TV_story)
First Doctor,Chancellor (The Three Doctors),The_Three_Doctors_(TV_story)
First Doctor,Time Lord (The Three Doctors),The_Three_Doctors_(TV_story)
First Doctor,Palmer (The Three Doctors),The_Three_Doctors_(TV_story)
First Doctor,Omega,The_Three_Doctors_(TV_story)
Second Doctor,President (The Three Doctors),The_Three_Doctors_(TV_story)
Second Doctor,Chancellor (The Three Doctors),The_Three_Doctors_(TV_story)
Second Doctor,Time Lord (The Three Doctors),The_Three_Doctors_(TV_story)
Second Doctor,Palmer (The Three Doctors),The_Three_Doctors_(TV_story)
Second Doctor,Omega,The_Three_Doctors_(TV_story)
President (The Three Doctors),Chancellor (The Three Doctors),The_Three_Doctors_(TV_story)
President (The Three Doctors),Time Lord (The Three Doctors),The_Three_Doctors_(TV_story)
President (The Three Doctors),Palmer (The Three Doctors),The_Three_Doctors_(TV_story)
President (The Three Doctors),Omega,The_Three_Doctors_(TV_story)
Chancellor (The Three Doctors),Time Lord (The Three Doctors),The_Three_Doctors_(TV_story)
Chancellor (The Three Doctors),Palmer (The Three Doctors),The_Three_Doctors_(TV_story)
Chancellor (The Three Doctors),Omega,The_Three_Doctors_(TV_story)
Time Lord (The Three Doctors),Palmer (The Three Doctors),The_Three_Doctors_(TV_story)
Time Lord (The Three Doctors),Omega,The_Three_Doctors_(TV_story)
Palmer (The Three Doctors),Omega,The_Three_Doctors_(TV_story)
Third Doctor,Jo Grant,Carnival_of_Monsters_(TV_story)
Third Doctor,Kalik,Carnival_of_Monsters_(TV_story)
Third Doctor,Drashig,Carnival_of_Monsters_(TV_story)
Jo Grant,Kalik,Carnival_of_Monsters_(TV_story)
Jo Grant,Drashig,Carnival_of_Monsters_(TV_story)
Kalik,Drashig,Carnival_of_Monsters_(TV_story)
Third Doctor,Jo Grant,Frontier_in_Space_(TV_story)
Third Doctor,The Master,Frontier_in_Space_(TV_story)
Jo Grant,The Master,Frontier_in_Space_(TV_story)
Third Doctor,Jo Grant,Planet_of_the_Daleks_(TV_story)
Third Doctor,Dalek Supreme (Planet of the Daleks),Planet_of_the_Daleks_(TV_story)
Jo Grant,Dalek Supreme (Planet of the Daleks),Planet_of_the_Daleks_(TV_story)
Third Doctor,The Brigadier,The_Green_Death_(TV_story)
Third Doctor,John Benton,The_Green_Death_(TV_story)
Third Doctor,Mike Yates,The_Green_Death_(TV_story)
Third Doctor,Jo Grant,The_Green_Death_(TV_story)
Third Doctor,Clifford Jones,The_Green_Death_(TV_story)
Third Doctor,Mark Elgin,The_Green_Death_(TV_story)
Third Doctor,BOSS,The_Green_Death_(TV_story)
Third Doctor,Stevens,The_Green_Death_(TV_story)
Third Doctor,Giant maggot,The_Green_Death_(TV_story)
The Brigadier,John Benton,The_Green_Death_(TV_story)
The Brigadier,Mike Yates,The_Green_Death_(TV_story)
The Brigadier,Jo Grant,The_Green_Death_(TV_story)
The Brigadier,Clifford Jones,The_Green_Death_(TV_story)
The Brigadier,Mark Elgin,The_Green_Death_(TV_story)
The Brigadier,BOSS,The_Green_Death_(TV_story)
The Brigadier,Stevens,The_Green_Death_(TV_story)
The Brigadier,Giant maggot,The_Green_Death_(TV_story)
John Benton,Mike Yates,The_Green_Death_(TV_story)
John Benton,Jo Grant,The_Green_Death_(TV_story)
John Benton,Clifford Jones,The_Green_Death_(TV_story)
John Benton,Mark Elgin,The_Green_Death_(TV_story)
John Benton,BOSS,The_Green_Death_(TV_story)
John Benton,Stevens,The_Green_Death_(TV_story)
John Benton,Giant maggot,The_Green_Death_(TV_story)
Mike Yates,Jo Grant,The_Green_Death_(TV_story)
Mike Yates,Clifford Jones,The_Green_Death_(TV_story)
Mike Yates,Mark Elgin,The_Green_Death_(TV_story)
Mike Yates,BOSS,The_Green_Death_(TV_story)
Mike Yates,Stevens,The_Green_Death_(TV_story)
Mike Yates,Giant maggot,The_Green_Death_(TV_story)
Jo Grant,Clifford Jones,The_Green_Death_(TV_story)
Jo Grant,Mark Elgin,The_Green_Death_(TV_story)
Jo Grant,BOSS,The_Green_Death_(TV_story)
Jo Grant,Stevens,The_Green_Death_(TV_story)
Jo Grant,Giant maggot,The_Green_Death_(TV_story)
Clifford Jones,Mark Elgin,The_Green_Death_(TV_story)
Clifford Jones,BOSS,The_Green_Death_(TV_story)
Clifford Jones,Stevens,The_Green_Death_(TV_story)
Clifford Jones,Giant maggot,The_Green_Death_(TV_story)
Mark Elgin,BOSS,The_Green_Death_(TV_story)
Mark Elgin,Stevens,The_Green_Death_(TV_story)
Mark Elgin,Giant maggot,The_Green_Death_(TV_story)
BOSS,Stevens,The_Green_Death_(TV_story)
BOSS,Giant maggot,The_Green_Death_(TV_story)
Stevens,Giant maggot,The_Green_Death_(TV_story)
Third Doctor,Sarah Jane Smith,The_Time_Warrior_(TV_story)
Third Doctor,The Brigadier,The_Time_Warrior_(TV_story)
Third Doctor,Commander,The_Time_Warrior_(TV_story)
Third Doctor,Linx,The_Time_Warrior_(TV_story)
Third Doctor,Irongron,The_Time_Warrior_(TV_story)
Sarah Jane Smith,The Brigadier,The_Time_Warrior_(TV_story)
Sarah Jane Smith,Commander,The_Time_Warrior_(TV_story)
Sarah Jane Smith,Linx,The_Time_Warrior_(TV_story)
Sarah Jane Smith,Irongron,The_Time_Warrior_(TV_story)
The Brigadier,Commander,The_Time_Warrior_(TV_story)
The Brigadier,Linx,The_Time_Warrior_(TV_story)
The Brigadier,Irongron,The_Time_Warrior_(TV_story)
Commander,Linx,The_Time_Warrior_(TV_story)
Commander,Irongron,The_Time_Warrior_(TV_story)
Linx,Irongron,The_Time_Warrior_(TV_story)
Third Doctor,The Brigadier,Invasion_of_the_Dinosaurs_(TV_story)
Third Doctor,John Benton,Invasion_of_the_Dinosaurs_(TV_story)
Third Doctor,Sarah Jane Smith,Invasion_of_the_Dinosaurs_(TV_story)
Third Doctor,Mike Yates,Invasion_of_the_Dinosaurs_(TV_story)
Third Doctor,Finch (Invasion of the Dinosaurs),Invasion_of_the_Dinosaurs_(TV_story)
Third Doctor,Whitaker (Invasion of the Dinosaurs),Invasion_of_the_Dinosaurs_(TV_story)
Third Doctor,Charles Grover,Invasion_of_the_Dinosaurs_(TV_story)
Third Doctor,Butler (Invasion of the Dinosaurs),Invasion_of_the_Dinosaurs_(TV_story)
The Brigadier,John Benton,Invasion_of_the_Dinosaurs_(TV_story)
The Brigadier,Sarah Jane Smith,Invasion_of_the_Dinosaurs_(TV_story)
The Brigadier,Mike Yates,Invasion_of_the_Dinosaurs_(TV_story)
The Brigadier,Finch (Invasion of the Dinosaurs),Invasion_of_the_Dinosaurs_(TV_story)
The Brigadier,Whitaker (Invasion of the Dinosaurs),Invasion_of_the_Dinosaurs_(TV_story)
The Brigadier,Charles Grover,Invasion_of_the_Dinosaurs_(TV_story)
The Brigadier,Butler (Invasion of the Dinosaurs),Invasion_of_the_Dinosaurs_(TV_story)
John Benton,Sarah Jane Smith,Invasion_of_the_Dinosaurs_(TV_story)
John Benton,Mike Yates,Invasion_of_the_Dinosaurs_(TV_story)
John Benton,Finch (Invasion of the Dinosaurs),Invasion_of_the_Dinosaurs_(TV_story)
John Benton,Whitaker (Invasion of the Dinosaurs),Invasion_of_the_Dinosaurs_(TV_story)
John Benton,Charles Grover,Invasion_of_the_Dinosaurs_(TV_story)
John Benton,Butler (Invasion of the Dinosaurs),Invasion_of_the_Dinosaurs_(TV_story)
Sarah Jane Smith,Mike Yates,Invasion_of_the_Dinosaurs_(TV_story)
Sarah Jane Smith,Finch (Invasion of the Dinosaurs),Invasion_of_the_Dinosaurs_(TV_story)
Sarah Jane Smith,Whitaker (Invasion of the Dinosaurs),Invasion_of_the_Dinosaurs_(TV_story)
Sarah Jane Smith,Charles Grover,Invasion_of_the_Dinosaurs_(TV_story)
Sarah Jane Smith,Butler (Invasion of the Dinosaurs),Invasion_of_the_Dinosaurs_(TV_story)
Mike Yates,Finch (Invasion of the Dinosaurs),Invasion_of_the_Dinosaurs_(TV_story)
Mike Yates,Whitaker (Invasion of the Dinosaurs),Invasion_of_the_Dinosaurs_(TV_story)
Mike Yates,Charles Grover,Invasion_of_the_Dinosaurs_(TV_story)
Mike Yates,Butler (Invasion of the Dinosaurs),Invasion_of_the_Dinosaurs_(TV_story)
Finch (Invasion of the Dinosaurs),Whitaker (Invasion of the Dinosaurs),Invasion_of_the_Dinosaurs_(TV_story)
Finch (Invasion of the Dinosaurs),Charles Grover,Invasion_of_the_Dinosaurs_(TV_story)
Finch (Invasion of the Dinosaurs),Butler (Invasion of the Dinosaurs),Invasion_of_the_Dinosaurs_(TV_story)
Whitaker (Invasion of the Dinosaurs),Charles Grover,Invasion_of_the_Dinosaurs_(TV_story)
Whitaker (Invasion of the Dinosaurs),Butler (Invasion of the Dinosaurs),Invasion_of_the_Dinosaurs_(TV_story)
Charles Grover,Butler (Invasion of the Dinosaurs),Invasion_of_the_Dinosaurs_(TV_story)
Third Doctor,Sarah Jane Smith,Death_to_the_Daleks_(TV_story)
Third Doctor,Dalek,Death_to_the_Daleks_(TV_story)
Sarah Jane Smith,Dalek,Death_to_the_Daleks_(TV_story)
Third Doctor,Sarah Jane Smith,The_Monster_of_Peladon_(TV_story)
Third Doctor,Alpha Centauri (The Curse of Peladon),The_Monster_of_Peladon_(TV_story)
Third Doctor,Aggedor (The Curse of Peladon),The_Monster_of_Peladon_(TV_story)
Third Doctor,Eckersley,The_Monster_of_Peladon_(TV_story)
Third Doctor,Ettis,The_Monster_of_Peladon_(TV_story)
Third Doctor,Ice Lord,The_Monster_of_Peladon_(TV_story)
Third Doctor,Azaxyr,The_Monster_of_Peladon_(TV_story)
Third Doctor,Ice Warrior,The_Monster_of_Peladon_(TV_story)
Sarah Jane Smith,Alpha Centauri (The Curse of Peladon),The_Monster_of_Peladon_(TV_story)
Sarah Jane Smith,Aggedor (The Curse of Peladon),The_Monster_of_Peladon_(TV_story)
Sarah Jane Smith,Eckersley,The_Monster_of_Peladon_(TV_story)
Sarah Jane Smith,Ettis,The_Monster_of_Peladon_(TV_story)
Sarah Jane Smith,Ice Lord,The_Monster_of_Peladon_(TV_story)
Sarah Jane Smith,Azaxyr,The_Monster_of_Peladon_(TV_story)
Sarah Jane Smith,Ice Warrior,The_Monster_of_Peladon_(TV_story)
Alpha Centauri (The Curse of Peladon),Aggedor (The Curse of Peladon),The_Monster_of_Peladon_(TV_story)
Alpha Centauri (The Curse of Peladon),Eckersley,The_Monster_of_Peladon_(TV_story)
Alpha Centauri (The Curse of Peladon),Ettis,The_Monster_of_Peladon_(TV_story)
Alpha Centauri (The Curse of Peladon),Ice Lord,The_Monster_of_Peladon_(TV_story)
Alpha Centauri (The Curse of Peladon),Azaxyr,The_Monster_of_Peladon_(TV_story)
Alpha Centauri (The Curse of Peladon),Ice Warrior,The_Monster_of_Peladon_(TV_story)
Aggedor (The Curse of Peladon),Eckersley,The_Monster_of_Peladon_(TV_story)
Aggedor (The Curse of Peladon),Ettis,The_Monster_of_Peladon_(TV_story)
Aggedor (The Curse of Peladon),Ice Lord,The_Monster_of_Peladon_(TV_story)
Aggedor (The Curse of Peladon),Azaxyr,The_Monster_of_Peladon_(TV_story)
Aggedor (The Curse of Peladon),Ice Warrior,The_Monster_of_Peladon_(TV_story)
Eckersley,Ettis,The_Monster_of_Peladon_(TV_story)
Eckersley,Ice Lord,The_Monster_of_Peladon_(TV_story)
Eckersley,Azaxyr,The_Monster_of_Peladon_(TV_story)
Eckersley,Ice Warrior,The_Monster_of_Peladon_(TV_story)
Ettis,Ice Lord,The_Monster_of_Peladon_(TV_story)
Ettis,Azaxyr,The_Monster_of_Peladon_(TV_story)
Ettis,Ice Warrior,The_Monster_of_Peladon_(TV_story)
Ice Lord,Azaxyr,The_Monster_of_Peladon_(TV_story)
Ice Lord,Ice Warrior,The_Monster_of_Peladon_(TV_story)
Azaxyr,Ice Warrior,The_Monster_of_Peladon_(TV_story)
Third Doctor,The Brigadier,Planet_of_the_Spiders_(TV_story)
Third Doctor,John Benton,Planet_of_the_Spiders_(TV_story)
Third Doctor,Mike Yates,Planet_of_the_Spiders_(TV_story)
Third Doctor,Sarah Jane Smith,Planet_of_the_Spiders_(TV_story)
Third Doctor,K'anpo Rimpoche,Planet_of_the_Spiders_(TV_story)
Third Doctor,Fourth Doctor,Planet_of_the_Spiders_(TV_story)
Third Doctor,The Great One (Planet of the Spiders),Planet_of_the_Spiders_(TV_story)
Third Doctor,Eight Legs,Planet_of_the_Spiders_(TV_story)
Third Doctor,Lupton,Planet_of_the_Spiders_(TV_story)
The Brigadier,John Benton,Planet_of_the_Spiders_(TV_story)
The Brigadier,Mike Yates,Planet_of_the_Spiders_(TV_story)
The Brigadier,Sarah Jane Smith,Planet_of_the_Spiders_(TV_story)
The Brigadier,K'anpo Rimpoche,Planet_of_the_Spiders_(TV_story)
The Brigadier,Fourth Doctor,Planet_of_the_Spiders_(TV_story)
The Brigadier,The Great One (Planet of the Spiders),Planet_of_the_Spiders_(TV_story)
The Brigadier,Eight Legs,Planet_of_the_Spiders_(TV_story)
The Brigadier,Lupton,Planet_of_the_Spiders_(TV_story)
John Benton,Mike Yates,Planet_of_the_Spiders_(TV_story)
John Benton,Sarah Jane Smith,Planet_of_the_Spiders_(TV_story)
John Benton,K'anpo Rimpoche,Planet_of_the_Spiders_(TV_story)
John Benton,Fourth Doctor,Planet_of_the_Spiders_(TV_story)
John Benton,The Great One (Planet of the Spiders),Planet_of_the_Spiders_(TV_story)
John Benton,Eight Legs,Planet_of_the_Spiders_(TV_story)
John Benton,Lupton,Planet_of_the_Spiders_(TV_story)
Mike Yates,Sarah Jane Smith,Planet_of_the_Spiders_(TV_story)
Mike Yates,K'anpo Rimpoche,Planet_of_the_Spiders_(TV_story)
Mike Yates,Fourth Doctor,Planet_of_the_Spiders_(TV_story)
Mike Yates,The Great One (Planet of the Spiders),Planet_of_the_Spiders_(TV_story)
Mike Yates,Eight Legs,Planet_of_the_Spiders_(TV_story)
Mike Yates,Lupton,Planet_of_the_Spiders_(TV_story)
Sarah Jane Smith,K'anpo Rimpoche,Planet_of_the_Spiders_(TV_story)
Sarah Jane Smith,Fourth Doctor,Planet_of_the_Spiders_(TV_story)
Sarah Jane Smith,The Great One (Planet of the Spiders),Planet_of_the_Spiders_(TV_story)
Sarah Jane Smith,Eight Legs,Planet_of_the_Spiders_(TV_story)
Sarah Jane Smith,Lupton,Planet_of_the_Spiders_(TV_story)
K'anpo Rimpoche,Fourth Doctor,Planet_of_the_Spiders_(TV_story)
K'anpo Rimpoche,The Great One (Planet of the Spiders),Planet_of_the_Spiders_(TV_story)
K'anpo Rimpoche,Eight Legs,Planet_of_the_Spiders_(TV_story)
K'anpo Rimpoche,Lupton,Planet_of_the_Spiders_(TV_story)
Fourth Doctor,The Great One (Planet of the Spiders),Planet_of_the_Spiders_(TV_story)
Fourth Doctor,Eight Legs,Planet_of_the_Spiders_(TV_story)
Fourth Doctor,Lupton,Planet_of_the_Spiders_(TV_story)
The Great One (Planet of the Spiders),Eight Legs,Planet_of_the_Spiders_(TV_story)
The Great One (Planet of the Spiders),Lupton,Planet_of_the_Spiders_(TV_story)
Eight Legs,Lupton,Planet_of_the_Spiders_(TV_story)
Fourth Doctor,Alistair Gordon Lethbridge-Stewart,Robot_(TV_story)
Fourth Doctor,Sarah Jane Smith,Robot_(TV_story)
Fourth Doctor,Harry Sullivan,Robot_(TV_story)
Fourth Doctor,Scientific Reform Society,Robot_(TV_story)
Alistair Gordon Lethbridge-Stewart,Sarah Jane Smith,Robot_(TV_story)
Alistair Gordon Lethbridge-Stewart,Harry Sullivan,Robot_(TV_story)
Alistair Gordon Lethbridge-Stewart,Scientific Reform Society,Robot_(TV_story)
Sarah Jane Smith,Harry Sullivan,Robot_(TV_story)
Sarah Jane Smith,Scientific Reform Society,Robot_(TV_story)
Harry Sullivan,Scientific Reform Society,Robot_(TV_story)
Fourth Doctor,Sarah Jane Smith,The_Ark_in_Space_(TV_story)
Fourth Doctor,Harry Sullivan,The_Ark_in_Space_(TV_story)
Fourth Doctor,Wirrn,The_Ark_in_Space_(TV_story)
Sarah Jane Smith,Harry Sullivan,The_Ark_in_Space_(TV_story)
Sarah Jane Smith,Wirrn,The_Ark_in_Space_(TV_story)
Harry Sullivan,Wirrn,The_Ark_in_Space_(TV_story)
Fourth Doctor,Sarah Jane Smith,The_Sontaran_Experiment_(TV_story)
Fourth Doctor,Harry Sullivan,The_Sontaran_Experiment_(TV_story)
Fourth Doctor,Field Major,The_Sontaran_Experiment_(TV_story)
Fourth Doctor,Styre,The_Sontaran_Experiment_(TV_story)
Sarah Jane Smith,Harry Sullivan,The_Sontaran_Experiment_(TV_story)
Sarah Jane Smith,Field Major,The_Sontaran_Experiment_(TV_story)
Sarah Jane Smith,Styre,The_Sontaran_Experiment_(TV_story)
Harry Sullivan,Field Major,The_Sontaran_Experiment_(TV_story)
Harry Sullivan,Styre,The_Sontaran_Experiment_(TV_story)
Field Major,Styre,The_Sontaran_Experiment_(TV_story)
Fourth Doctor,Sarah Jane Smith,Genesis_of_the_Daleks_(TV_story)
Fourth Doctor,Harry Sullivan,Genesis_of_the_Daleks_(TV_story)
Fourth Doctor,Time Lord messenger (Genesis of the Daleks),Genesis_of_the_Daleks_(TV_story)
Fourth Doctor,Davros,Genesis_of_the_Daleks_(TV_story)
Sarah Jane Smith,Harry Sullivan,Genesis_of_the_Daleks_(TV_story)
Sarah Jane Smith,Time Lord messenger (Genesis of the Daleks),Genesis_of_the_Daleks_(TV_story)
Sarah Jane Smith,Davros,Genesis_of_the_Daleks_(TV_story)
Harry Sullivan,Time Lord messenger (Genesis of the Daleks),Genesis_of_the_Daleks_(TV_story)
Harry Sullivan,Davros,Genesis_of_the_Daleks_(TV_story)
Time Lord messenger (Genesis of the Daleks),Davros,Genesis_of_the_Daleks_(TV_story)
Fourth Doctor,Sarah Jane Smith,Revenge_of_the_Cybermen_(TV_story)
Fourth Doctor,Harry Sullivan,Revenge_of_the_Cybermen_(TV_story)
