Id,Label
Keller Machine,['Main enemy']
Kellman,['Main enemy']
King Vampire,['Main enemy']
Kitling,['Main enemy']
Kiy Uvanov,['Featuring']
Kraal (species),['Main enemy']
Kroagnon,['Main enemy']
Kroll,['Main enemy']
Kronos,['Featuring']
Kroton (species),['Main enemy']
Krynoid,['Main enemy']
Leela,"['Companion(s)', 'Featuring']"
Li H'sen Chang,['Main enemy']
Light (Ghost Light),['Main enemy']
Linx,['Main enemy']
Lish Toos,['Featuring']
Liz Shaw,"['Companion(s)', 'Featuring']"
Lord President,['Main enemy']
Lupton,['Main enemy']
Léon Colbert,['Main enemy']
Maaga,['Main enemy']
Macra,['Main enemy']
Madge Cranleigh,['Main enemy']
Magnus Greel,['Main enemy']
Mags (The Greatest Show in the Galaxy),['Featuring']
Malus,['Main enemy']
Mandragora Helix,['Main enemy']
Mandrel,['Main enemy']
Mara,['Main enemy']
Marco Polo,['Featuring']
Mark Elgin,['Featuring']
Marshal of Atrios,['Main enemy']
Marshal of Solos,['Main enemy']
Marshman,['Main enemy']
Master Brain,['Main enemy']
Master of the Land,['Main enemy']
Maurice Caven,['Main enemy']
Mavic Chen,['Main enemy']
Mawdryn,['Main enemy']
Maximilien Robespierre,['Main enemy']
Maximillian Stael,['Main enemy']
Mechonoid,['Featuring']
Meglos,['Main enemy']
Mehendri Solon,['Main enemy']
Melanie Bush,"['Companion(s)', 'Featuring']"
Mestor,['Main enemy']
Midge (Survival),['Main enemy']
Mike Yates,"['Companion(s)', 'Featuring']"
Minister of Chance,['Featuring']
Minotaur,['Featuring']
Monoid,['Main enemy']
Morbius,['Main enemy']
Morgaine,['Main enemy']
Morgus,['Main enemy']
Morka,['Main enemy']
Morok,['Main enemy']
Movellan,['Main enemy']
Mr Sin,['Main enemy']
Napoléon Bonaparte,['Featuring']
Nathan (A Fix with Sontarans),['Main enemy']
Nero,['Main enemy']
Nestene Consciousness,['Main enemy']
Nimon,['Main enemy']
Nyssa,"['Featuring', 'Companion(s)']"
Odysseus,['Main enemy']
Ogri,['Main enemy']
Ohila,['Featuring']
Olive Hawthorne,['Featuring']
Omega,['Main enemy']
Oracle (Underworld),['Main enemy']
Pa Clanton,['Main enemy']
Padmasambhava,['Featuring']
Palmer (The Three Doctors),['Featuring']
Pangol,['Main enemy']
Peinforte,['Main enemy']
Peladon of Peladon,['Featuring']
Peri Brown,"['Companion(s)', 'Featuring']"
Peter Haydon,['Featuring']
Petra Williams,['Featuring']
Phineas Clanton,['Main enemy']
Polly Wright,['Companion(s)']
President (The Three Doctors),['Featuring']
Quark,['Main enemy']
Quillam,['Main enemy']
Rachel Jensen,['Featuring']
Rago,['Main enemy']
Ramón Salamander,['Main enemy']
Ranquin,['Main enemy']
Rapunzel,['Featuring']
Rassilon,['Featuring']
Reegan,['Main enemy']
Richard Mace,['Featuring']
Rill,['Featuring']
Roland Summers,['Featuring']
Romana I,['Companion(s)']
Romana II,"['Companion(s)', 'Featuring']"
Ron Rat,['Main enemy']
Rorvik,['Main enemy']
Rutan Host,['Main enemy']
Sabalom Glitz,['Companion(s)']
Salamar,['Main enemy']
Samuel Pike,['Main enemy']
Sara Kingdom,['Companion(s)']
Sarah Jane Smith,"['Companion(s)', 'Featuring']"
Scaroth,['Main enemy']
Scientific Reform Society,['Main enemy']
Sea Devil,['Main enemy']
Second Doctor,"['Featuring', 'Doctor']"
Seer,['Main enemy']
Seth Harper,['Main enemy']
Seventh Doctor,"['Doctor', 'Featuring']"
Seventh Doctor (Death Comes to Time),['Doctor']
Sharaz Jek,['Main enemy']
Shockeye of the Quawncing Grig,['Main enemy']
Sil,['Main enemy']
Sixth Doctor,"['Featuring', 'Doctor']"
Skagra,['Main enemy']
Slaar,['Main enemy']
Soldeed,['Main enemy']
Sontaran,['Main enemy']
Spandrell,['Featuring']
Steven Taylor,"['Featuring', 'Companion(s)']"
Stevens,['Main enemy']
Stor,['Main enemy']
Stotz,['Main enemy']
Stuart Hyde,['Featuring']
Styre,['Main enemy']
Supreme Controller (The Dalek Invasion of Earth),['Main enemy']
Susan Foreman,"['Companion(s)', 'Featuring']"
Sutekh,['Main enemy']
Tannis (Death Comes to Time),['Main enemy']
Taren Capel,['Main enemy']
Tegan Jovanka,"['Companion(s)', 'Featuring']"
Tegana,['Main enemy']
Tekker,['Main enemy']
Terileptil,['Main enemy']
Terileptil android,['Main enemy']
Thawn,['Main enemy']
The Brigadier,"['Companion(s)', 'Featuring']"
The Brigadier (Death Comes to Time),['Featuring']
The Captain,['Main enemy']
The Collector,['Main enemy']
The Destroyer,['Main enemy']
The Director (The Faceless Ones),['Main enemy']
The Great One (Planet of the Spiders),['Main enemy']
The Master,"['Main enemy', 'Featuring']"
The Monk,"['Main enemy', 'Featuring']"
The Nucleus,['Main enemy']
The Rani,['Main enemy']
The Shadow,['Main enemy']
The Swarm (The Invisible Enemy),['Main enemy']
The War Chief,['Main enemy']
The Watcher (Logopolis),['Featuring']
Third Doctor,"['Doctor', 'Featuring']"
Thonmi,['Featuring']
Three Who Rule,['Main enemy']
Time Lord (The Three Doctors),['Featuring']
Time Lord messenger,['Featuring']
Time Lord messenger (Genesis of the Daleks),['Featuring']
Tlotoxl,['Main enemy']
Toba,['Main enemy']
Tobias Vaughn,['Featuring']
Tom Osgood,['Featuring']
Tractator,['Main enemy']
Tryst,['Main enemy']
Turner (A Fix with Sontarans),['Main enemy']
Urbankan,['Main enemy']
Vardan,['Main enemy']
Varga,['Main enemy']
Vicki Pallister,['Companion(s)']
Victoria Waterfield,"['Companion(s)', 'Featuring']"
Vislor Turlough,"['Companion(s)', 'Featuring']"
Vorus,['Main enemy']
WOTAN,['Main enemy']
War Doctor,['Featuring']
War Lord,['Main enemy']
Weed creature,['Main enemy']
West Lodge,['Main enemy']
Whitaker (Invasion of the Dinosaurs),['Main enemy']
White Guardian,['Featuring']
Will Chandler,['Featuring']
Winifred Bambera,['Featuring']
Wirrn,['Main enemy']
Wrack,['Main enemy']
Xanxia,['Main enemy']
Xoanon,['Main enemy']
Yartek,['Main enemy']
Zaroff,['Main enemy']
Zoe Heriot,['Companion(s)']
